Split,Window,Period,Region,Model,RMSE,MAPE,SMAPE
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 4,GRU-PACF,31.0202,4.2394,4.1485
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 4,GRU-PLCMF,30.4695,4.1558,4.0639
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 5,GRU-SW,59.4093,7.8423,7.8016
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 5,GRU-PACF,60.231,7.8802,7.8977
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 5,GRU-PLCMF,58.1404,7.673,7.6378
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 6,GRU-SW,79.4309,5.0531,4.6716
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 6,GRU-PACF,86.5332,5.8468,5.3743
Training,"January 1, 2025 - January 15, 2025",Period_2,Region 6,GRU-PLCMF,77.7706,4.8609,4.4854
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 1,GRU-SW,60.4804,6.7543,6.1817
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 1,GRU-PACF,68.149,7.836,7.1093
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 1,GRU-PLCMF,67.9614,7.952,7.2402
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 2,GRU-SW,126.5654,6.227,5.8364
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 2,GRU-PACF,112.2495,5.3407,5.059
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 2,GRU-PLCMF,110.6994,5.2031,4.9132
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 3,GRU-SW,75.4886,4.7781,4.4986
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 3,GRU-PACF,83.1002,5.5586,5.2503
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 3,GRU-PLCMF,97.7489,6.9162,6.4441
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 4,GRU-SW,37.268,4.7562,4.598
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 4,GRU-PACF,35.9041,4.5772,4.4336
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 4,GRU-PLCMF,38.0177,4.8743,4.7057
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 5,GRU-SW,56.0653,7.564,7.2297
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 5,GRU-PACF,59.6022,8.2298,7.8083
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 5,GRU-PLCMF,62.8906,8.8083,8.3191
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 6,GRU-SW,89.0956,6.489,6.0797
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 6,GRU-PACF,106.9475,8.0904,7.5031
Training,"January 1, 2025 - January 15, 2025",Period_3,Region 6,GRU-PLCMF,97.8208,7.2059,6.7151
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 1,GRU-SW,60.3828,6.6438,6.0355
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 1,GRU-PACF,66.6534,7.2451,6.4448
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 1,GRU-PLCMF,64.5874,7.0531,6.3096
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 2,GRU-SW,96.1645,5.4944,5.1827
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 2,GRU-PACF,96.847,5.5078,5.1928
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 2,GRU-PLCMF,99.5511,5.748,5.4055
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 3,GRU-SW,63.7263,4.2966,4.0408
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 3,GRU-PACF,101.1259,8.4906,7.8463
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 3,GRU-PLCMF,94.2461,7.7251,7.1689
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 4,GRU-SW,28.874,4.372,4.2532
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 4,GRU-PACF,38.194,6.0434,5.7925
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 4,GRU-PLCMF,31.4003,4.8554,4.7038
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 5,GRU-SW,60.0483,9.3211,8.7596
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 5,GRU-PACF,64.8179,10.2679,9.573
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 5,GRU-PLCMF,59.7823,9.2782,8.7257
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 6,GRU-SW,78.2641,6.5892,6.1645
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 6,GRU-PACF,80.6277,6.8009,6.3528
Training,"October 1, 2025 - October 15, 2025",Period_1,Region 6,GRU-PLCMF,72.7933,6.0418,5.6804
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 1,GRU-SW,79.3793,8.4585,7.3331
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 1,GRU-PACF,84.5606,9.0312,7.7363
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 1,GRU-PLCMF,80.4538,8.5023,7.3174
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 2,GRU-SW,145.9846,6.7659,6.1749
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 2,GRU-PACF,154.1047,7.3158,6.6494
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 2,GRU-PLCMF,137.4221,6.1723,5.6764
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 3,GRU-SW,113.2916,8.2384,7.5223
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 3,GRU-PACF,118.0512,8.7642,7.9878
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 3,GRU-PLCMF,114.2279,8.3721,7.6434
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 4,GRU-SW,31.0813,4.1522,4.0477
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 4,GRU-PACF,34.7063,4.7395,4.592
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 4,GRU-PLCMF,26.8543,3.491,3.4406
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 5,GRU-SW,82.8919,12.5339,11.3898
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 5,GRU-PACF,78.37,11.6528,10.6656
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 5,GRU-PLCMF,80.8438,12.1031,11.0298
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 6,GRU-SW,98.0383,6.8999,6.3233
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 6,GRU-PACF,98.7775,6.9836,6.3848
Training,"October 1, 2025 - October 15, 2025",Period_2,Region 6,GRU-PLCMF,92.451,6.2299,5.7089
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 1,GRU-SW,63.4186,7.3571,6.5726
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 1,GRU-PACF,60.7376,6.7993,6.1042
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 1,GRU-PLCMF,68.6307,8.0122,7.2705
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 2,GRU-SW,84.4906,3.9316,3.8337
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 2,GRU-PACF,91.9473,4.2505,4.1204
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 2,GRU-PLCMF,121.5919,5.8849,5.5285
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 3,GRU-SW,70.4372,4.2388,4.039
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 3,GRU-PACF,73.227,4.4734,4.2672
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 3,GRU-PLCMF,77.0328,4.9288,4.6486
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 4,GRU-SW,22.5055,2.7232,2.7069
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 4,GRU-PACF,23.733,2.8588,2.8489
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 4,GRU-PLCMF,36.4203,4.6519,4.5015
Training,"October 1, 2025 - October 15, 2025",Period_3,Region 5,GRU-SW,48.7841,5.7406,5.7685
