Periode,Lag,Effect,Cause,PLCMF_Value,PVal_Raw,PVal_BH_Adj,Sig_Raw,Sig_BH
PERIOD_1,5,region_6,region_1,0.034318,1.4e-05,2.4e-05,TRUE,TRUE
PERIOD_1,5,region_6,region_2,0.165317,0,0,TRUE,TRUE
PERIOD_1,5,region_6,region_3,-0.177819,0,0,TRUE,TRUE
PERIOD_1,5,region_6,region_4,0.064115,0,0,TRUE,TRUE
PERIOD_1,5,region_6,region_5,-0.03421,1.5e-05,2.5e-05,TRUE,TRUE
PERIOD_1,6,region_1,region_2,0.000672,0.932085,0.943883,FALSE,FALSE
PERIOD_1,6,region_1,region_3,0.00564,0.474713,0.515525,FALSE,FALSE
PERIOD_1,6,region_1,region_4,0.027926,0.000401,0.000635,TRUE,TRUE
PERIOD_1,6,region_1,region_5,0.018146,0.021455,0.028686,TRUE,TRUE
PERIOD_1,6,region_1,region_6,-0.085919,0,0,TRUE,TRUE
PERIOD_1,6,region_2,region_1,-0.017763,0.02436,0.032301,TRUE,TRUE
PERIOD_1,6,region_2,region_3,-0.086196,0,0,TRUE,TRUE
PERIOD_1,6,region_2,region_4,0.041962,0,0,TRUE,TRUE
PERIOD_1,6,region_2,region_5,-0.017468,0.026835,0.034908,TRUE,TRUE
PERIOD_1,6,region_2,region_6,-0.086097,0,0,TRUE,TRUE
PERIOD_1,6,region_3,region_1,-0.034282,1.4e-05,2.4e-05,TRUE,TRUE
PERIOD_1,6,region_3,region_2,0.115386,0,0,TRUE,TRUE
PERIOD_1,6,region_3,region_4,0.018342,0.020089,0.027086,TRUE,TRUE
PERIOD_1,6,region_3,region_5,-0.08206,0,0,TRUE,TRUE
PERIOD_1,6,region_3,region_6,-0.120142,0,0,TRUE,TRUE
PERIOD_1,6,region_4,region_1,0.003313,0.674572,0.711637,FALSE,FALSE
PERIOD_1,6,region_4,region_2,0.033873,1.8e-05,3.1e-05,TRUE,TRUE
PERIOD_1,6,region_4,region_3,-0.009886,0.21021,0.242549,FALSE,FALSE
PERIOD_1,6,region_4,region_5,0.024917,0.001588,0.002435,TRUE,TRUE
PERIOD_1,6,region_4,region_6,-0.013897,0.078188,0.096728,FALSE,FALSE
PERIOD_1,6,region_5,region_1,-0.002619,0.739979,0.773835,FALSE,FALSE
PERIOD_1,6,region_5,region_2,-0.016521,0.036266,0.04667,TRUE,TRUE
PERIOD_1,6,region_5,region_3,-0.013569,0.085475,0.104931,FALSE,FALSE
PERIOD_1,6,region_5,region_4,0.020675,0.008783,0.012327,TRUE,TRUE
PERIOD_1,6,region_5,region_6,-0.030336,0.000121,0.000199,TRUE,TRUE
PERIOD_1,6,region_6,region_1,-0.052898,0,0,TRUE,TRUE
PERIOD_1,6,region_6,region_2,0.13225,0,0,TRUE,TRUE
PERIOD_1,6,region_6,region_3,-0.139756,0,0,TRUE,TRUE
PERIOD_1,6,region_6,region_4,0.014561,0.064961,0.081201,FALSE,FALSE
PERIOD_1,6,region_6,region_5,-0.096597,0,0,TRUE,TRUE
PERIOD_1,7,region_1,region_2,0.008149,0.301661,0.335179,FALSE,FALSE
PERIOD_1,7,region_1,region_3,-0.052778,0,0,TRUE,TRUE
PERIOD_1,7,region_1,region_4,0.029612,0.000175,0.000285,TRUE,TRUE
PERIOD_1,7,region_1,region_5,-0.027806,0.000425,0.000671,TRUE,TRUE
PERIOD_1,7,region_1,region_6,0.005698,0.470196,0.511778,FALSE,FALSE
PERIOD_1,7,region_2,region_1,-0.002842,0.718678,0.7532,FALSE,FALSE
PERIOD_1,7,region_2,region_3,-0.054942,0,0,TRUE,TRUE
PERIOD_1,7,region_2,region_4,-0.041329,0,0,TRUE,TRUE
PERIOD_1,7,region_2,region_5,-0.009621,0.222701,0.255733,FALSE,FALSE
PERIOD_1,7,region_2,region_6,-0.058763,0,0,TRUE,TRUE
PERIOD_1,7,region_3,region_1,0.015679,0.046905,0.059404,TRUE,FALSE
PERIOD_1,7,region_3,region_2,0.060637,0,0,TRUE,TRUE
PERIOD_1,7,region_3,region_4,-0.115455,0,0,TRUE,TRUE
PERIOD_1,7,region_3,region_5,0.012298,0.119065,0.141463,FALSE,FALSE
PERIOD_1,7,region_3,region_6,-0.086165,0,0,TRUE,TRUE
PERIOD_1,7,region_4,region_1,-0.046512,0,0,TRUE,TRUE
PERIOD_1,7,region_4,region_2,0.042925,0,0,TRUE,TRUE
PERIOD_1,7,region_4,region_3,-0.076049,0,0,TRUE,TRUE
PERIOD_1,7,region_4,region_5,-0.033642,2e-05,3.5e-05,TRUE,TRUE
PERIOD_1,7,region_4,region_6,0.090887,0,0,TRUE,TRUE
PERIOD_1,7,region_5,region_1,-0.024763,0.001698,0.002595,TRUE,TRUE
PERIOD_1,7,region_5,region_2,-0.000855,0.913732,0.927254,FALSE,FALSE
PERIOD_1,7,region_5,region_3,-0.055521,0,0,TRUE,TRUE
PERIOD_1,7,region_5,region_4,0.009583,0.224525,0.256871,FALSE,FALSE
PERIOD_1,7,region_5,region_6,0.019897,0.011677,0.01606,TRUE,TRUE
PERIOD_1,7,region_6,region_1,-0.002866,0.716423,0.752479,FALSE,FALSE
PERIOD_1,7,region_6,region_2,0.06129,0,0,TRUE,TRUE
PERIOD_1,7,region_6,region_3,0.035078,9e-06,1.6e-05,TRUE,TRUE
PERIOD_1,7,region_6,region_4,-0.137137,0,0,TRUE,TRUE
PERIOD_1,7,region_6,region_5,0.010953,0.16506,0.191374,FALSE,FALSE
PERIOD_1,8,region_1,region_2,-0.012953,0.100654,0.121697,FALSE,FALSE
PERIOD_1,8,region_1,region_3,-0.007675,0.330645,0.365691,FALSE,FALSE
PERIOD_1,8,region_1,region_4,0.009127,0.247333,0.279341,FALSE,FALSE
PERIOD_1,8,region_1,region_5,-0.020227,0.010358,0.014328,TRUE,TRUE
PERIOD_1,8,region_1,region_6,-0.000561,0.943315,0.947551,FALSE,FALSE
